key;iga_global_value;iga_local_value;iga_access;gcv;gcv_returntype;ig
sendmail_path;"/usr/bin/sendmail -t -i ";"/usr/bin/sendmail -t -i ";4;;boolean;"/usr/bin/sendmail -t -i "
serialize_precision;17;17;7;17;string;17
session.auto_start;0;0;2;0;string;0
session.cache_expire;180;180;7;180;string;180
session.cache_limiter;nocache;nocache;7;nocache;string;nocache
session.cookie_domain;;;7;;string;
session.cookie_httponly;;;7;;string;
session.cookie_lifetime;0;0;7;0;string;0
session.cookie_path;/;/;7;/;string;/
session.cookie_secure;;;7;;boolean;
session.entropy_file;/dev/urandom;/dev/urandom;7;;boolean;/dev/urandom
session.entropy_length;32;32;7;;boolean;32
session.gc_divisor;1000;1000;7;1000;string;1000
session.gc_maxlifetime;1440;1440;7;1440;string;1440
session.gc_probability;1;1;7;1;string;1
session.hash_bits_per_character;5;5;7;5;string;5
session.hash_function;0;0;7;0;string;0
session.name;PHPSESSID;PHPSESSID;7;PHPSESSID;string;PHPSESSID
session.referer_check;;;7;;string;
session.save_handler;files;files;7;files;string;files
session.save_path;/home/ingmar/lampstack-5.6.36-2/php/tmp;/home/ingmar/lampstack-5.6.36-2/php/tmp;7;/home/ingmar/lampstack-5.6.36-2/php/tmp;string;/home/ingmar/lampstack-5.6.36-2/php/tmp
session.serialize_handler;php;php;7;php;string;php
session.upload_progress.cleanup;1;1;2;;boolean;1
session.upload_progress.enabled;1;1;2;;boolean;1
session.upload_progress.freq;1%;1%;2;;boolean;1%
session.upload_progress.min_freq;1;1;2;;boolean;1
session.upload_progress.name;PHP_SESSION_UPLOAD_PROGRESS;PHP_SESSION_UPLOAD_PROGRESS;2;;boolean;PHP_SESSION_UPLOAD_PROGRESS
session.upload_progress.prefix;upload_progress_;upload_progress_;2;;boolean;upload_progress_
session.use_cookies;1;1;7;1;string;1
session.use_only_cookies;1;1;7;1;string;1
session.use_strict_mode;0;0;7;0;string;0
session.use_trans_sid;0;0;7;0;string;0
short_open_tag;;;6;;string;
SMTP;localhost;localhost;7;localhost;string;localhost
smtp_port;25;25;7;25;string;25
soap.wsdl_cache;1;1;7;;boolean;1
soap.wsdl_cache_dir;/home/ingmar/lampstack-5.6.36-2/php/tmp;/home/ingmar/lampstack-5.6.36-2/php/tmp;7;/home/ingmar/lampstack-5.6.36-2/php/tmp;string;/home/ingmar/lampstack-5.6.36-2/php/tmp
soap.wsdl_cache_enabled;1;1;7;1;string;1
soap.wsdl_cache_limit;5;5;7;5;string;5
soap.wsdl_cache_ttl;86400;86400;7;86400;string;86400
sql.safe_mode;;;4;;string;
sqlite3.extension_dir;;;4;;boolean;
sys_temp_dir;;;4;;boolean;
tidy.clean_output;;;1;;string;
tidy.default_config;;;4;;boolean;
track_errors;;;7;;string;
unserialize_callback_func;;;7;;string;
upload_max_filesize;40M;40M;6;40M;string;40M
upload_tmp_dir;/home/ingmar/lampstack-5.6.36-2/php/tmp;/home/ingmar/lampstack-5.6.36-2/php/tmp;4;/home/ingmar/lampstack-5.6.36-2/php/tmp;string;/home/ingmar/lampstack-5.6.36-2/php/tmp
url_rewriter.tags;a=href,area=href,frame=src,input=src,form=fakeentry;a=href,area=href,frame=src,input=src,form=fakeentry;7;a=href,area=href,frame=src,input=src,form=fakeentry;string;a=href,area=href,frame=src,input=src,form=fakeentry
user_agent;;;7;;boolean;
user_dir;;;4;;string;
user_ini.cache_ttl;300;300;4;;boolean;300
user_ini.filename;.user.ini;.user.ini;4;;boolean;.user.ini
variables_order;GPCS;GPCS;6;GPCS;string;GPCS
xbithack;0;0;7;;boolean;0
xdebug.auto_trace;0;0;7;;boolean;0
xdebug.cli_color;0;0;7;;boolean;0
xdebug.collect_assignments;0;0;7;;boolean;0
xdebug.collect_includes;1;1;7;;boolean;1
xdebug.collect_params;0;0;7;;boolean;0
xdebug.collect_return;0;0;7;;boolean;0
xdebug.collect_vars;0;0;7;;boolean;0
xdebug.coverage_enable;1;1;4;;boolean;1
xdebug.default_enable;1;1;7;;boolean;1
xdebug.dump.COOKIE;;;7;;boolean;
xdebug.dump.ENV;;;7;;boolean;
xdebug.dump.FILES;;;7;;boolean;
xdebug.dump.GET;;;7;;boolean;
xdebug.dump.POST;;;7;;boolean;
xdebug.dump.REQUEST;;;7;;boolean;
xdebug.dump.SERVER;;;7;;boolean;
xdebug.dump.SESSION;;;7;;boolean;
xdebug.dump_globals;1;1;7;;boolean;1
xdebug.dump_once;1;1;7;;boolean;1
xdebug.dump_undefined;0;0;7;;boolean;0
xdebug.extended_info;1;1;4;;boolean;1
xdebug.file_link_format;;;7;;boolean;
xdebug.force_display_errors;0;0;4;;boolean;0
xdebug.force_error_reporting;0;0;4;;boolean;0
xdebug.halt_level;0;0;7;;boolean;0
